PMS100	0,0,51,0
PMS101	0,0,79,0
PMS102	0,1,95,0
PMS103	0,3,100,18
PMS104	0,3,100,30
PMS105	0,3,100,50
PMS106	0,2,69,0
PMS107	0,4,79,0
PMS108	0,6,95,0
PMS109	0,10,100,0
PMS110	0,12,100,7
PMS111	0,11,100,27
PMS112	0,10,100,38
PMS113	0,7,66,0
PMS114	0,8,73,0
PMS115	0,9,80,0
PMS116	0,16,100,0
PMS117	0,18,100,15
PMS118	0,18,100,27
PMS119	0,12,100,49
PMS120	0,9,58,0
PMS1205	0,5,31,0
PMS121	0,11,69,0
PMS1215	0,9,45,0
PMS122	0,17,80,0
PMS1225	0,17,62,0
PMS123	0,24,94,0
PMS1235	0,29,91,0
PMS124	0,28,100,6
PMS1245	0,28,100,18
PMS125	0,26,100,26
PMS1255	0,27,100,34
PMS126	0,25,100,37
PMS1265	0,27,100,51
PMS127	0,7,50,0
PMS128	0,11,65,0
PMS129	0,16,77,0
PMS130	0,30,100,0
PMS131	0,32,100,9
PMS132	0,28,100,30
PMS133	0,20,100,56
PMS134	0,11,45,0
PMS1345	0,14,47,0
PMS135	0,19,60,0
PMS1355	0,20,56,0
PMS136	0,27,76,0
PMS1365	0,29,72,0
PMS137	0,35,90,0
PMS1375	0,40,90,0
PMS138	0,42,100,1
PMS1385	0,44,100,7
PMS139	0,37,100,23
PMS1395	0,41,100,37
PMS140	0,27,100,54
PMS1405	0,36,100,63
PMS141	0,19,51,0
PMS142	0,28,76,0
PMS143	0,35,85,0
PMS144	0,48,100,0
PMS145	0,47,100,8
PMS146	0,43,100,33
PMS147	0,28,100,56
PMS148	0,16,37,0
PMS1485	0,27,54,0
PMS149	0,23,47,0
PMS1495	0,33,67,0
PMS150	0,35,70,0
PMS1505	0,42,77,0
PMS151	0,48,95,0
PMS152	0,51,100,1
PMS1525	0,58,100,10
PMS153	0,46,100,18
PMS1535	0,53,100,38
PMS154	0,46,100,34
PMS1545	0,53,100,72
PMS155	0,12,28,0
PMS1555	0,22,34,0
PMS156	0,22,42,0
PMS1565	0,34,49,0
PMS157	0,43,70,0
PMS1575	0,45,72,0
PMS158	0,61,97,0
PMS1585	0,56,90,0
PMS159	0,66,100,7
PMS1595	0,59,100,5
PMS160	0,62,100,32
PMS1605	0,56,100,30
PMS161	0,52,100,64
PMS1615	0,56,100,43
PMS162	0,15,22,0
PMS1625	0,31,37,0
PMS163	0,31,44,0
PMS1635	0,39,48,0
PMS164	0,46,73,0
PMS1645	0,49,66,0
PMS165	0,59,96,0
PMS1655	0,63,91,0
PMS166	0,64,100,0
PMS1665	0,68,100,0
PMS167	0,60,100,17
PMS1675	0,67,100,28
PMS168	0,57,100,59
PMS1685	0,68,100,44
PMS169	0,20,20,0
PMS170	0,40,44,0
PMS171	0,53,68,0
PMS172	0,66,88,0
PMS173	0,69,100,4
PMS174	0,70,100,36
PMS175	0,65,100,60
PMS176	0,25,18,0
PMS1765	0,38,21,0
PMS1767	0,27,12,0
PMS177	0,45,40,0
PMS1775	0,47,29,0
PMS1777	0,58,36,0
PMS178	0,59,56,0
PMS1785	0,67,50,0
PMS1787	0,76,60,0
PMS1788	0,84,88,0
PMS179	0,79,100,0
PMS1795	0,94,100,0
PMS1797	0,100,99,4
PMS180	0,79,100,11
PMS1805	0,91,100,23
PMS1807	0,100,96,28
PMS181	0,74,100,47
PMS1815	0,90,100,51
PMS1817	0,90,100,66
PMS182	0,26,10,0
PMS183	0,46,21,0
PMS184	0,68,41,0
PMS185	0,91,76,0
PMS186	0,100,81,4
PMS187	0,100,79,20
PMS188	0,97,100,50
PMS189	0,37,10,0
PMS1895	0,28,7,0
PMS190	0,55,22,0
PMS1905	0,41,9,0
PMS191	0,76,38,0
PMS1915	0,71,20,0
PMS192	0,100,68,0
PMS1925	0,100,55,0
PMS193	0,100,66,13
PMS1935	0,100,57,5
PMS194	0,100,64,33
PMS1945	0,100,56,19
PMS195	0,100,60,55
PMS1955	0,100,60,37
PMS196	0,25,4,0
PMS197	0,45,10,0
PMS198	0,78,33,0
PMS199	0,100,62,0
PMS200	0,100,63,12
PMS201	0,100,63,29
PMS202	0,100,61,43
PMS203	0,34,3,0
PMS204	0,58,3,0
PMS205	0,84,9,0
PMS206	0,100,38,3
PMS207	0,100,43,19
PMS208	0,100,36,37
PMS209	0,100,34,53
